id,participants_int
201990001,1500
201990002,1000
201990003,500
201990004,550
201990005,950
201990006,200
201991001,110000
201991002,110000
201992001,1000
201993001,10000
201993002,550
201994001,10000
201994002,6000
201995001,3000
201995002,550
201996001,1500
201997001,126000
201997002,45000
201998000,
201999000,
202000001,2000
202000002,400
202000003,500
202000004,20
202001000,
202002000,
202003001,250
202004000,
202005001,170000
202005002,300
202006001,200
202007001,1500
202008001,550
202009001,12000
202009002,200
202010001,1500
202011001,300
202012001,1500
202013000,
202014000,
202015001,70
202016001,275
202016002,550
202016003,250
202016004,550
202016005,70
202016006,250
202016007,70
202016008,300
202016009,550
202016010,550
202017001,50
202018001,550
202018002,3500
202019001,100
202019002,50
202019003,50
401990000,
401991000,
401992000,
401993000,
401994001,1000
401995000,
401996000,
401997000,
401998000,
401999001,50
402000000,
402001000,
402002000,
402003000,
402004000,
402005000,
402006000,
402007000,
402008000,
402009000,
402010000,
402011000,
402012001,50
402013000,
402014001,550
402014002,550
402015001,550
402015002,550
402015003,550
402015004,550
402015005,550
402015006,550
402015007,550
402015008,550
402015009,550
402015010,550
402015011,550
402015012,550
402015013,550
402015014,550
402015015,550
402015016,550
402015017,550
402015018,550
402015019,550
402015020,550
402015021,550
402015022,550
402015023,550
402015024,550
402015025,550
402015026,550
402015027,550
402015028,550
402015029,550
402015030,550
402015031,550
402015032,550
402015033,550
402015034,550
402015035,550
402015036,550
402015037,70
402016001,70
402016002,70
402016003,70
402016004,70
402016005,70
402016006,70
402016007,70
402016008,70
402016009,70
402016010,70
402016011,70
402016012,70
402016013,70
402016014,70
402016015,70
402016016,70
402016017,70
402016018,70
402016019,70
402016020,70
402016021,70
402016022,70
402016023,70
402016024,70
402016025,70
402016026,70
402016027,70
402016028,70
402016029,70
402016030,70
402016031,70
402016032,70
402016033,70
402016034,70
402016035,70
402016036,70
402016037,70
402016038,70
402016039,70
402016040,70
402016041,70
402016042,70
402016043,70
402016044,70
402016045,70
402016046,70
402016047,70
402016048,70
402016049,70
402016050,70
402016051,70
402016052,70
402016053,70
402017001,70
402017002,70
402018000,
402019000,
411990001,1500
411990002,1500
411991001,1500
411991002,300
411991003,80
411992001,200
411992002,200
411993001,2500
411993002,300
411993003,150
411993004,500
411993005,200
411994001,2000
411994002,1500
411994003,1500
411994004,10000
411994005,550
411994006,1500
411994007,550
411994008,550
411994009,2000
411994010,80
411995001,550
411995002,50
411996001,550
411997001,1500
411997002,50
411997003,550
411997004,550
411998001,300
411998002,50
411998003,400
411999001,550
411999002,550
411999003,550
411999004,500
411999005,550
411999006,550
412000001,50
412000002,550
412000003,100
412000004,550
412001001,1000
412002001,1500
412002002,8000
412002003,1500
412002004,1500
412003001,550
412003002,650
412004001,1500
412004002,4000
412004003,15000
412004004,10000
412004005,1500
412004006,550
412004007,10000
412004008,1500
412005001,2000
412005002,1500
412006001,550
412006002,10000
412006003,1500
412006004,150
412007001,2000
412008001,50
412008002,10000
412008003,550
412009000,
412010001,550
412010002,1500
412010003,550
412010004,1500
412011001,200
412011002,300
412012001,1500
412012002,550
412012003,1000
412013001,1000
412013002,1500
412013003,1500
412013004,100
412013005,1500
412013006,1500
412013007,600
412014001,550
412014002,2000
412014003,3500
412014004,1500
412014005,3500
412014006,3500
412014007,3500
412014008,550
412014009,3500
412015001,1500
412015002,4000
412015003,3500
412015004,3500
412015005,70
412016001,2000
412016002,550
412016003,550
412017001,7500
412017002,500
412018001,550
412018002,550
412018003,10000
